ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11,Consumer Cyclical,78.8,90.0,49.73,87.47,99.24,1,Não,5,7,False,True,True,True,True,False,,True,False,4391298560.0,4.7,1.65,29.47,35.06,17.83,31.34,,2.95,0.42,,13.979999542236328,68.67,41.8,30.18,23.81,,41.11,35.99,157.45,194.1,n/d,2025-12-23,última,,,Lateral,14.5,-3.58621005354256,-30.893841995710268,True,False,False,sem sinal (Lateral; sem novo topo (-3.6%))
PLPL3,SMALL11,Real Estate,73.71,80.88,73.75,64.11,69.7,2,Não,4,7,False,True,True,True,False,False,,True,False,1465268480.0,4.25,1.34,7.04,31.56,29.38,9.85,,2.87,1.28,,7.21999979019165,8.47,5.16,17.24,14.35,,11.3,11.41,58.05,56.57,n/d,2025-12-30,última,,,Em Baixa,8.300000190734863,-13.012052719574596,-58.4595147434448,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.0%))
VLID3,SMALL11,Industrials,73.5,67.09,71.82,81.03,81.82,3,Não,3,7,False,False,True,True,False,False,,True,False,1434978048.0,6.11,0.87,9.26,14.22,15.05,12.13,,2.32,0.43,,18.34000015258789,28.3,17.23,30.46,37.73,,28.43,29.38,60.2,55.02,2026-08-05,2026-05-12,última,,,Em Alta,18.65999984741211,-1.7148965564895091,-20.532208658549887,True,False,False,sem sinal (Em Alta; sem novo topo (-1.7%))
POMO4,BOVA11,Industrials,72.45,81.05,58.1,61.1,96.21,4,Não,5,7,False,True,True,True,False,True,,True,False,5983549952.0,5.01,1.42,19.63,28.32,18.39,13.81,,1.97,0.84,0.22,4.820000171661377,15.77,12.16,12.36,8.57,28.86,15.54,12.36,156.46,222.5,n/d,2026-04-27,última,,,Em Baixa,5.619999885559082,-14.23487064391854,-39.37832522333622,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.2%))
RECV3,BOVA11,Energy,70.82,57.15,77.43,68.02,93.18,5,Não,2,7,False,False,False,False,True,False,,True,False,2965251584.0,5.63,0.72,13.31,12.74,9.37,17.93,,2.18,0.77,,10.119999885559082,22.45,13.67,18.24,23.84,,19.55,20.34,101.03,93.17,n/d,2026-05-19,última,,,Em Alta,10.890000343322754,-7.0707110513159925,-28.93556602259626,True,False,False,sem sinal (Em Alta; sem novo topo (-7.1%))
BRSR6,SMALL11,Financial Services,70.61,51.0,84.47,,88.64,6,Pivô de alta,2,6,False,False,False,False,,False,,True,True,5917860352.0,3.66,0.51,11.21,13.99,0.0,22.75,,,,,14.470000267028809,27.03,16.46,40.11,50.24,,33.46,33.57,132.03,131.25,n/d,2026-06-15,última,"A análise fundamentalista do Banrisul (BRSR6) revela um ativo que transita entre uma clara compressão de múltiplos de preço e desafios operacionais de rentabilidade e crescimento. O papel é negociado a um P/L de 3,66 e um P/VP de 0,51, patamares historicamente baixos que convivem com um ROE de 14,0% e um ROIC de 0,0%, ambos situando-se abaixo dos pares do setor de serviços financeiros, que registram médias de 20,1% e 7,9%, respectivamente. Essa relação de qualidade versus preço sugere que, embora a rentabilidade da instituição esteja abaixo da média setorial, o mercado precifica o ativo com um desconto severo, criando uma assimetria favorável em termos de valor. No âmbito do crescimento, a receita da companhia encolheu a uma taxa composta anual (CAGR) de -8,3% nos últimos cinco anos, desempenho significativamente abaixo da média de expansão de 8,9% observada em seus pares, o que justifica o fato de o banco ter atendido a apenas 2 de 6 critérios no checklist de qualidade e crescimento. Por outro lado, a sustentabilidade do expressivo dividendo distribuído, com um dividend yield de 11,21%, encontra forte suporte na robusta margem líquida de 22,75%, indicando que a geração de lucro atual é plenamente capaz de manter o fluxo de proventos mesmo diante de uma receita em retração. Sob a ótica do valuation, as projeções de preço-teto apresentam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 16,17 pelo modelo de Gordon e R$ 26,57 pelo método de Bazin, até estimativas mais agressivas de R$ 39,42 via fluxo de caixa descontado e R$ 49,37 pela fórmula de Graham. Essa disparidade resulta em uma média de R$ 32,88 e uma mediana de R$ 32,99, valores que, quando comparados à cotação atual de R$ 14,22, sinalizam um potencial de valorização teórico de 132,0% em relação à mediana. Em suma, o investimento em BRSR6 coloca em balanço, como pontos positivos, o elevado retorno em dividendos, o desconto patrimonial extremo e a tendência gráfica de alta com pivô armado; em contrapartida, pesam negativamente a perda de eficiência frente aos concorrentes, a retração histórica de receita e o fraco desempenho no checklist de fundamentos.",Pivô de alta,Em Alta,14.470000267028809,0.0,-22.304431237826762,True,True,True,Pivô de alta
LAVV3,SMALL11,Real Estate,70.59,74.72,47.9,77.6,96.97,7,Não,4,7,False,True,True,False,True,False,,True,False,2057923712.0,5.12,1.49,24.74,29.03,9.91,22.06,,4.22,0.85,,10.529999732971191,43.42,26.43,20.87,18.08,,27.2,23.65,124.6,158.32,n/d,2026-02-03,última,,,Em Baixa,11.289999961853027,-6.731622953496419,-44.520548014035995,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.7%))
AZZA3,BOVA11,Consumer Cyclical,69.83,42.63,84.83,76.88,93.94,8,Não,1,7,False,False,False,False,False,False,,True,False,3295466752.0,3.98,0.41,15.43,10.39,7.75,7.17,,2.2,0.49,,16.299999237060547,41.92,25.52,41.55,60.53,,42.38,41.74,156.05,160.0,2026-08-12,2025-12-22,última,,,Em Baixa,18.850000381469727,-13.527857256257292,-53.39380144879116,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.5%))
GRND3,SMALL11,Consumer Cyclical,69.76,65.92,50.44,82.8,100.0,9,Não,4,7,False,True,True,False,True,False,,True,False,3283862528.0,5.21,1.04,42.01,19.96,7.6,24.95,,2.05,0.02,,3.640000104904175,25.49,15.52,7.09,7.42,,13.88,11.47,215.01,281.23,2026-08-06,2026-04-24,última,,,Em Baixa,3.9000000953674316,-6.666666259113551,-26.793269356157968,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.7%))
TGMA3,SMALL11,Industrials,69.68,79.12,39.02,84.34,89.39,10,Não,6,7,False,True,True,True,False,True,,True,True,2146933888.0,8.89,2.27,11.23,25.55,27.01,10.14,,2.22,0.23,0.38,32.560001373291016,60.94,46.98,47.06,34.38,109.88,59.85,47.06,44.53,83.81,n/d,2025-12-03,última,,,Em Alta,34.20000076293945,-4.795319745798398,-20.37172448201653,True,False,False,sem sinal (Em Alta; sem novo topo (-4.8%))
