ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11+DIVO11,SMALL11,Imobiliário,77.64,75.46,90.0,,,0.8,,87.08,80.85,45.03,70.55,False,1,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7767425024.0,3.57,1.01,6.4,8.1,28.4,16.71,13.12,52.59,4.78,1.22,1.3,1.73,0.86,0.24,28.9,90.2,6.83,7.25,0.72,61.6,36.26,5.01,13.76,133.8,-14.8,6.5,9.14,8.86,-27.9,39.5,58.8,7.38,13.76,43.83,1.41,0.62,0.05,11.720000267028809,False,False,False,6.776732584795026,12.57083894479477,43.498600430849216,29.27683234246902,75.81912050211835,19.57807411896471,39.72325020477552,19.15114456407981,,,,6,False,11.2,,,n/d,2026-08-31,última,,,False,False,,,Lateral,11.130000114440918,5.300989636310782,-16.633957830928825,True,False,False,sem sinal (Lateral)
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.15,78.41,70.0,,,0.9,,87.7,64.53,65.78,96.58,False,2,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4130584832.0,4.59,1.61,29.38,15.44,35.06,31.82,17.83,24.89,6.17,0.76,0.6,2.96,0.37,0.45,70.88,-64.7,5.77,11.45,1.64,37.42,62.57,13.15,20.08,0.0,-34.5,-10.3,17.02,16.78,-34.5,25.7,-34.0,13.15,19.91,-48.97,0.86,0.58,0.14,13.149999618530273,False,False,False,14.503924675833323,26.904780273670813,37.96023855022355,22.945510184044643,73.49170999637674,48.502420262982895,26.04113936887669,8.844522370067851,,,,6,False,8.3,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.819999694824219,-4.848046968806152,-34.99671093343011,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.8%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.9,72.23,90.0,,,0.8,,73.24,76.31,60.23,81.51,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$24.52, preço 5.3% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2671193856.0,4.68,1.14,15.45,9.29,24.38,16.15,10.98,21.43,4.5,0.91,1.16,2.38,0.48,0.34,43.5,19.5,4.04,6.4,1.12,72.76,27.27,20.62,34.28,25.3,-24.6,-5.0,25.47,26.49,-33.9,44.9,12.3,22.65,34.28,-2.67,1.65,0.64,0.12,25.829999923706055,False,False,False,17.148740778148454,31.81091414346538,73.12980747630453,53.0444940952745,127.32641563286813,25.641130289701795,62.53248221463307,44.08571650690784,48.37409078771452,48.56510530109117,43.70859477098205,6,True,7.4,69.2163952771348,87.27871053270167,n/d,2026-01-02,última,,,False,False,,,Lateral,25.1200008392334,2.8264293819757924,-24.649939196305127,True,False,False,sem sinal (Lateral)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,74.04,74.75,70.0,,,0.7,,80.32,75.66,52.54,91.78,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5412505600.0,4.39,1.24,21.9,12.72,28.32,24.74,18.39,13.19,4.64,1.29,0.98,1.94,0.81,0.35,55.85,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,16.9,-32.7,-15.8,5.55,5.42,-42.4,35.3,-17.8,3.73,6.43,-32.77,0.91,0.45,0.04,4.360000133514404,False,False,False,3.9619720155256,7.349458088799989,13.159453705937551,8.86410024559716,25.05303394475443,11.167220262900909,10.458800195809273,5.497397558678501,8.636914581892713,8.86410024559716,7.977690221037443,7,True,6.3,82.97454075091918,98.09436507816976,n/d,2026-08-26,última,,,False,False,,,Lateral,4.21999979019165,3.3175438455743667,-33.2490061586197,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+Carteira,BOVA11,Bens Industriais,73.16,73.72,70.0,,,0.7,,80.32,73.76,52.54,86.3,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5784925184.0,4.65,1.32,20.67,10.22,28.32,24.74,18.39,13.19,4.84,1.29,0.98,1.94,0.81,0.31,47.51,-14.0,4.77,8.76,1.02,59.93,39.42,3.93,7.69,18.5,-39.4,-14.6,5.8,5.9,-48.9,35.0,-17.3,3.93,6.81,-32.27,0.99,0.49,0.04,4.659999847412109,False,False,False,3.4009842487356283,6.30882578140459,13.27849418886246,8.922030827291568,25.136202416421522,11.561520700613206,12.040800886773463,5.545021872522896,11.827556667698529,11.561520700613206,10.405368630551886,7,True,7.4,123.29117964092676,153.810237231378,n/d,2026-08-26,última,"A análise fundamentalista da Marcopolo (POMO4) revela uma empresa de bens industriais com forte eficiência operacional, evidenciada por um ROE de 28,3% e um ROIC de 18,4%, ambos significativamente acima das médias do setor de 14,5% e 12,6%, respectivamente. Essa alta qualidade de retorno convive com múltiplos de preço bastante atrativos, visto que o P/L de 4,65 e o P/VP de 1,32 sugerem que o papel está descontado frente à rentabilidade entregue. No âmbito financeiro, a excelente rentabilidade é sustentada por um endividamento controlado, com a relação Dívida Líquida/EBITDA em 1,29, patamar bem abaixo da média setorial de 2,39, o que confere solidez ao balanço. O expressivo Dividend Yield de 20,67% mostra-se coerente com a forte geração de lucro e a estrutura de capital desalavancada, embora o investidor deva monitorar a sustentabilidade desse fluxo no longo prazo. Por outro lado, o crescimento histórico é o principal ponto de atenção, dado que o CAGR de receita de 5 anos recuou 14,0%, ficando muito abaixo da média de expansão do setor de 21,6%. Esse descompasso no crescimento reflete-se no checklist de critérios da companhia, que atendeu a 5 dos 8 requisitos avaliados, penalizado justamente pela ausência de expansão recente e pela margem líquida de 13,19%, que não atingiu o patamar de 15%. Sob a ótica do valuation, as estimativas de preço-teto apresentam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 3,26 pelo modelo de Bazin até os otimistas R$ 24,11 pela fórmula de Lynch. Contudo, a média de R$ 11,41 e a mediana de R$ 11,55 balizam uma referência sólida, resultando em um preço-teto ajustado com margem de segurança de R$ 10,40, o que projeta um expressivo potencial de valorização de 132,6% em relação ao preço atual de R$ 4,47. Em suma, o ativo coloca na balança o forte retorno sobre o capital, o endividamento sob controle e o valuation altamente convidativo como principais prós, contrapondo-se aos contras de uma contração histórica de receita e de uma tendência gráfica de baixa no curto prazo.",,False,True,4.45,4.72,Lateral,4.5,3.555552164713549,-39.651121021414845,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,73.0,72.65,75.0,,1.8,0.3,,76.03,52.93,100.0,52.05,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,32575229952.0,8.67,1.98,6.1,5.34,22.84,17.35,79.28,8.13,,,,,,0.71,46.26,0.3,8.16,6.06,,71.59,28.18,43.07,55.45,18.0,-8.3,-0.0,47.94,48.44,-16.1,25.9,9.7,44.27,55.45,-5.27,0.75,0.5,0.02,50.81999969482422,False,False,True,19.36726707089241,35.92628041650541,77.66608949901048,58.1813472128082,103.22353731264717,48.32475947293381,60.88452536050594,,45.321099114835526,42.12551994471961,37.912967950247655,4,True,4.0,-25.397543923816833,-10.820347526583573,n/d,2026-06-23,última,,,False,False,,,Lateral,49.41999816894531,2.832864382335498,-8.514850778036875,True,False,False,sem sinal (Lateral)
ABCB10,SMALL11,SMALL11,Produtos financeiros,71.17,74.9,50.0,,,0.4,,75.94,73.03,,,False,7,Não,,,False,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,True,True,,True,,,0.85,,,14.9,,,40.92,,,,,,,,-2.9,,1.54,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
MILS3,SMALL11,SMALL11,Bens Industriais,71.13,69.57,80.0,,,0.7,,84.65,57.65,57.57,55.48,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3583808768.0,8.2,1.95,5.39,5.7,23.81,18.37,20.65,23.53,4.87,1.28,0.87,2.98,0.99,0.65,46.78,21.3,8.4,11.12,0.54,61.6,38.32,10.3,15.81,52.8,-0.5,6.7,12.85,13.14,-15.0,27.0,24.3,12.01,15.81,9.33,0.71,0.46,0.07,15.729999542236328,False,False,False,6.409212767470622,11.889089683658003,25.41737730910138,18.659316752946864,35.25263599569826,12.298579736256524,20.405201945791337,18.553646517822397,20.353692563039253,18.659316752946864,16.79338507765218,7,True,5.5,6.760238819845954,29.394107789945778,n/d,2026-04-22,última,,,False,False,,,Lateral,15.75,-0.12698703342013395,-1.3174406755029677,True,False,False,sem sinal (Lateral)
PETR4,BOVA11+DIVO11,BOVA11,Energia,70.51,74.13,50.0,,,0.9,DY5a=41.0%>=20,86.07,82.78,36.46,,False,9,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$44.07, preço 8.6% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,653934460928.0,4.53,1.26,7.78,41.01,27.73,30.77,19.69,24.32,2.85,1.29,0.92,0.85,0.76,0.3,185.78,96.8,4.84,10.07,0.28,65.87,33.99,26.84,47.87,78.3,0.0,15.8,37.03,35.99,-22.2,26.1,65.8,27.87,47.87,50.83,0.37,0.25,-0.07,47.869998931884766,True,True,False,140.2309318392882,260.1283785618796,140.01710504359227,95.04303656256376,317.019860476058,56.477880000000006,127.86467705867675,57.97642044751233,149.34478624869638,133.9408910511345,120.54680194602106,8,True,5.6,151.82119205298014,211.97992392103924,n/d,2026-08-24,última,,,False,False,,,Em Alta,46.869998931884766,2.1335609617855633,-0.1460152207539256,True,False,False,sem sinal (Em Alta)
LEVE3,SMALL11+DIVO11,SMALL11,Consumo discricionário,70.49,70.58,70.0,,,0.9,,86.1,58.88,35.59,100.0,False,10,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4467365376.0,6.36,4.6,8.72,19.55,72.29,64.73,34.45,13.0,5.2,1.21,0.49,1.43,1.7,0.25,124.34,25.8,6.47,14.14,0.81,77.23,22.71,24.65,35.6,33.7,-7.4,0.4,32.23,31.22,-12.3,24.5,4.5,31.18,35.6,-10.47,0.63,0.45,0.1,32.959999084472656,True,True,False,46.02825624423104,85.38241533304857,68.66666475931801,28.904867063654233,155.47169379468232,98.51666666666667,62.70691649718854,26.351804929126818,71.50366066098952,65.68679062825328,59.11811156542795,8,True,5.9,79.3632075471698,116.94072405079238,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-3.0588262221392437,-8.975421381310234,True,False,False,sem sinal (Em Alta)
