ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,77.56,75.37,90.0,,,0.8,,86.88,80.75,44.97,70.92,False,1,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7223969792.0,3.5,0.99,6.53,7.96,28.4,16.71,13.12,52.59,4.7,1.22,1.3,1.73,0.86,0.23,27.86,90.2,6.36,7.25,0.72,61.6,36.26,5.01,13.76,103.7,-25.8,-7.4,9.09,8.79,-27.9,38.7,38.4,7.38,13.76,27.89,1.37,0.61,0.06,10.210844039916992,5.8063891607569,10.77085189320405,38.65533815111432,26.019639935756565,66.98631681410043,19.767539352374044,35.30034653799875,16.863050245388532,,,,6,False,11.5,,,n/d,2026-10-01,próxima,,,False,False,,,Em Baixa,10.747211456298828,-4.990758938380024,-27.368802438659824,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.0%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.88,78.09,70.0,,,0.9,,87.8,63.17,65.69,96.45,False,2,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4227960064.0,4.6,1.61,29.3,15.44,35.06,31.82,17.83,24.89,6.19,0.76,0.6,2.96,0.37,0.45,71.04,-64.7,5.9,11.45,1.64,37.42,62.57,13.37,20.08,0.1,-33.3,-9.4,17.05,16.82,-33.4,26.1,-32.7,13.37,19.91,-43.21,0.92,0.6,0.13,13.390000343322754,14.769582738854341,27.3975759805748,38.569022728049234,23.338879049766703,74.51097364566313,48.47789228578153,26.356795537109623,8.837022794615942,,,,6,False,8.4,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.039999961853027,-4.62962692518758,-33.81033550054507,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.6%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.81,72.13,90.0,,,0.8,,73.1,76.82,60.08,80.14,False,3,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2528482048.0,4.55,1.11,15.87,9.29,24.38,16.15,10.98,21.43,4.39,0.91,1.16,2.38,0.48,0.32,42.26,19.5,3.83,6.4,1.12,72.76,27.27,20.62,34.28,18.6,-28.7,-10.6,25.43,26.46,-33.9,44.8,6.3,22.65,34.28,-4.21,1.66,0.63,0.13,24.450000762939453,16.222470284052363,30.09268237691713,71.2005516722962,51.60632681095359,125.55377268519709,25.70896311266156,61.89944659111422,42.556724166503294,47.177449121741,47.081525488728445,42.3733729398556,6,True,7.7,73.30622338500632,92.95479611293551,n/d,2026-01-02,última,,,False,False,,,Lateral,24.610000610351562,-0.6501415824622492,-28.675607836643703,True,False,False,sem sinal (Lateral)
POMO3,SMALL11,SMALL11,Bens Industriais,74.15,74.88,70.0,,,0.7,,80.49,76.04,52.52,91.49,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5064913408.0,4.25,1.2,22.65,12.72,28.32,24.74,18.39,13.19,4.52,1.29,0.98,1.94,0.81,0.33,54.06,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,11.2,-35.9,-20.6,5.55,5.43,-42.4,34.9,-21.8,3.73,6.43,-32.31,0.91,0.45,0.05,4.150000095367432,3.770224611126729,6.993766653640082,12.938235591439637,8.716743723386035,25.12502458100001,11.217657629612294,10.59486135807276,5.413933961389416,9.312533152923372,9.655802540729397,8.690222286656457,6,True,6.7,109.4029418543193,124.39838407037098,n/d,2026-08-26,última,,,False,False,,,Em Baixa,4.119999885559082,0.7281604524675522,-36.46408229840906,True,False,False,sem sinal (Em Baixa; sem novo topo (+0.7%))
POMO4,BOVA11+SMALL11+Carteira,BOVA11,Bens Industriais,73.09,73.63,70.0,,,0.7,,80.49,73.28,52.52,85.82,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5462161408.0,4.58,1.3,21.0,10.21,28.32,24.74,18.39,13.19,4.78,1.29,0.98,1.94,0.81,0.31,46.78,-14.0,4.5,8.76,1.02,59.93,39.42,3.93,7.69,12.4,-42.5,-19.8,5.82,5.93,-48.9,34.7,-21.6,3.93,6.81,-32.11,0.97,0.48,0.06,4.420000076293945,3.224933208520007,5.9822511018046125,12.78711812464951,8.592293841909434,24.33385721914613,11.575137762178509,11.67729277798182,5.337104731202623,11.46929365126752,11.575137762178509,10.417623985960658,7,True,7.5,135.69284629278928,159.48627722387334,n/d,2026-08-26,última,"A análise fundamentalista da Marcopolo (POMO4) revela uma empresa com excelente eficiência operacional, evidenciada por um ROE de 28,3% e um ROIC de 18,4%, ambos significativamente acima das médias do setor de bens industriais, que são de 14,5% e 12,6%, respectivamente. Essa alta qualidade de retorno convive com múltiplos de preço bastante atrativos, visto que o P/L de 4,58 e o P/VP de 1,3 sugerem que o papel está descontado frente à sua capacidade de geração de valor. No âmbito financeiro, a excelente rentabilidade é acompanhada por um endividamento controlado, com a relação Dívida Líquida/EBITDA em 1,29, patamar confortavelmente abaixo da média setorial de 2,39, o que confere solidez ao balanço. Essa estrutura de capital saudável e a forte lucratividade sustentam um expressivo Dividend Yield de 21,0%, o qual se mostra coerente com a robustez dos lucros recentes, embora o investidor deva monitorar a sustentabilidade desse fluxo no longo prazo. Por outro lado, o crescimento histórico acende um sinal de alerta, dado que o CAGR de receita dos últimos cinco anos contraiu 14,0%, ficando muito abaixo da média de expansão de 21,6% dos seus pares setoriais. Esse descompasso no crescimento e a existência de vendas por parte de insiders explicam por que a companhia atendeu a apenas 5 dos 8 critérios do checklist de qualidade, além de refletirem uma tendência gráfica atual de baixa. No que tange ao valuation, as estimativas de preço-teto apresentam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 3,21 por Bazin até os otimistas R$ 24,22 por Lynch, estabelecendo uma média de R$ 11,43 e um preço-teto ajustado com margem de segurança de R$ 10,42, o que projeta um expressivo potencial de valorização teórica de 136,8% sobre a cotação atual de R$ 4,40. Em suma, POMO4 destaca-se positivamente por seus indicadores de rentabilidade superiores, endividamento sob controle, múltiplos de valuation convidativos e proventos robustos, mas traz como contrapartidas o histórico recente de retração na receita e a falta de momentum gráfico de curto prazo.",,False,True,4.45,-0.67,Em Baixa,4.5,-1.7777760823567745,-42.759211270301215,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.8%))
PSSA3,BOVA11,BOVA11,Insurance,72.98,72.62,75.0,,1.8,0.3,,76.13,52.75,100.0,51.77,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,31459903488.0,8.61,1.97,6.14,5.34,22.84,17.35,79.28,8.13,,,,,,0.7,45.94,0.3,7.88,6.06,,71.59,28.18,43.07,55.45,13.5,-11.9,-4.0,47.94,48.43,-16.1,25.9,5.5,44.27,55.45,-5.01,0.75,0.5,0.03,48.869998931884766,18.624180200627368,34.54785427216376,75.20644434930001,56.285807336974145,100.36942341289334,47.845412353315595,59.217101646617735,,44.05597279385169,41.19663331273968,37.07696998146571,4,True,4.0,-24.131428705075763,-9.850677804889852,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,50.41999816894531,-3.0741755123966263,-12.025203234780923,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.1%))
MILS3,SMALL11,SMALL11,Bens Industriais,70.94,69.34,80.0,,,0.7,,84.89,56.52,57.38,55.32,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3586087168.0,8.21,1.96,5.38,5.71,23.81,18.37,20.65,23.53,4.88,1.28,0.87,2.98,0.99,0.65,46.87,21.3,8.41,11.12,0.54,61.6,38.32,10.3,15.81,52.5,-0.7,7.1,12.83,13.08,-15.0,27.1,24.1,12.01,15.81,13.59,0.74,0.47,0.07,15.699999809265137,6.401689196500936,11.875133459509236,25.338002128229355,18.564843475957364,35.10892155998621,12.296202983485033,20.315305800621932,18.423294573642302,20.27452914020449,18.564843475957364,16.70835912836163,7,True,5.5,6.422670900297867,29.13712985040775,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.75,-0.3174615284753268,-1.5056447768889702,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11,BOVA11,Energia,70.61,74.25,50.0,,,0.9,DY5a=41.0%>=20,86.35,82.81,36.34,,False,9,Bandeira de alta,,,False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,615130136576.0,4.35,1.21,8.1,41.02,27.73,30.77,19.69,24.32,2.77,1.29,0.92,0.85,0.76,0.29,178.42,96.8,4.56,10.07,0.28,65.87,33.99,26.84,47.05,62.2,-7.4,5.5,36.85,35.77,-22.2,25.6,50.8,27.87,47.05,40.29,0.34,0.23,-0.06,43.54999923706055,127.58924478391958,236.67804907417084,132.65229652667867,90.04137059857729,300.3448223245555,56.257693333333336,121.13907833757074,53.533981815297004,139.77956709926286,124.36416156074516,111.92774540467065,8,True,5.6,157.00975284844878,220.96342031692177,n/d,2026-08-24,última,,Bandeira de alta,False,False,,,Em Alta,42.971248626708984,1.3468321932629035,-8.627331177634668,True,True,True,"Bandeira de alta — mastro +15%, recuo 14%, bandeira 8d (candidato)"
LEVE3,SMALL11,SMALL11,Consumo discricionário,70.42,70.49,70.0,,,0.9,,86.26,58.33,35.47,100.0,False,10,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4436191744.0,6.36,4.6,8.71,19.55,72.29,64.73,34.45,13.0,5.21,1.21,0.49,1.43,1.7,0.25,124.34,25.8,6.42,14.14,0.81,77.23,22.71,24.65,35.6,31.6,-8.9,-1.4,32.22,31.13,-12.3,24.5,2.8,31.18,35.6,-7.71,0.64,0.45,0.11,32.439998626708984,45.30199092173366,84.03519315981595,67.58333047231037,28.448843261403002,153.0188614467405,98.51666666666667,61.71760745018533,25.425195138793963,76.94607048269363,67.58333047231037,60.82499742507933,7,True,6.0,87.49999999999996,137.19504852056696,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-4.588239333208866,-10.41149006651121,True,False,False,sem sinal (Em Alta)
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.29,68.58,80.0,,,0.9,,90.09,31.97,56.97,86.52,False,11,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$34.67, preço 6.0% abaixo do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,10042350592.0,9.14,6.07,14.77,10.4,66.38,57.38,37.72,17.89,5.9,-0.15,-0.06,1.92,0.66,2.78,95.05,8.2,6.8,16.3,0.91,70.61,24.44,26.99,40.16,20.8,-18.8,4.2,31.28,31.78,-29.9,39.5,8.7,28.13,40.16,-1.81,1.31,0.57,0.06,32.599998474121094,24.216126628887,32.67790267207057,34.37896868019397,20.760671443344624,48.80739130308112,50.94836393549667,16.89191340686676,24.215222296587285,31.612070045816,28.447014650478785,25.60231318543091,8,True,3.0,-21.465293301302356,-3.030455443393165,n/d,2026-08-17,última,,,False,False,,,Em Alta,32.849998474121094,-0.7610350429603452,-19.003055842352534,True,False,False,sem sinal (Em Alta)
