ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,77.56,75.37,90.0,,,0.8,,86.88,80.75,44.97,70.92,False,1,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7449305088.0,3.5,0.99,6.53,8.1,28.4,16.71,13.12,52.59,4.7,1.22,1.3,1.73,0.86,0.23,28.34,90.2,6.55,7.25,0.72,61.6,36.26,5.01,13.76,124.2,-18.3,2.1,9.13,8.84,-27.9,39.3,52.3,7.38,13.76,39.97,1.4,0.61,0.06,11.239999771118164,6.500023106571174,12.057542862689527,42.55142770494733,28.64217157554963,74.17152001679112,19.57807411896471,38.85828492300851,18.562684941377487,,,,6,False,11.4,,,n/d,2026-10-01,próxima,,,False,False,,,Lateral,10.899999618530273,3.119267564100481,-20.04827017491706,True,False,False,sem sinal (Lateral)
VULC3,SMALL11,SMALL11,Consumo discricionário,76.88,78.09,70.0,,,0.9,,87.8,63.17,65.69,96.45,False,2,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4237383424.0,4.6,1.61,29.3,15.44,35.06,31.82,17.83,24.89,6.19,0.76,0.6,2.96,0.37,0.45,71.03,-64.7,5.91,11.45,1.64,37.42,62.57,13.37,20.08,0.9,-32.8,-8.3,17.03,16.79,-33.4,25.7,-32.2,13.37,19.91,-44.53,0.91,0.6,0.13,13.489999771118164,14.879345586317122,27.60118606261826,38.8570645581121,23.51317886235236,75.0684440771303,48.47828974981417,26.555298624965598,8.903019598217016,,,,6,False,8.4,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.819999694824219,-2.38784320544988,-33.316016724876306,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.4%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.81,72.13,90.0,,,0.8,,73.1,76.82,60.08,80.14,False,3,Rompimento,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2612247552.0,4.55,1.11,15.87,9.29,24.38,16.15,10.98,21.43,4.39,0.91,1.16,2.38,0.48,0.32,42.28,19.5,3.95,6.4,1.12,72.76,27.27,20.62,34.28,22.5,-26.3,-7.3,25.43,26.48,-33.9,44.9,9.8,22.65,34.28,-2.53,1.66,0.64,0.12,25.260000228881836,16.765536309434392,31.100069854000793,73.55934132586468,53.315983083009066,129.71132507572003,25.708182358854973,63.93801242181622,43.96657785858885,48.59802781702243,48.64128047079896,43.777152423719066,6,True,7.7,73.30622338500635,92.39124060440945,n/d,2026-01-02,última,,Rompimento,False,False,,,Lateral,24.610000610351562,2.641201147540273,-26.312715494793405,True,True,True,"Rompimento (vol x1.5, +2.6% do topo, MM50>MM200)"
POMO3,SMALL11,SMALL11,Bens Industriais,74.15,74.88,70.0,,,0.7,,80.49,76.04,52.52,91.49,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5226295296.0,4.25,1.2,22.65,12.72,28.32,24.74,18.39,13.19,4.52,1.29,0.98,1.94,0.81,0.33,54.06,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,12.9,-35.0,-18.9,5.55,5.42,-42.4,35.1,-20.6,3.73,6.43,-32.93,0.9,0.44,0.04,4.210000038146973,3.8253981361647034,7.096113542585525,13.125294236575854,8.842768810761552,25.487832054823155,11.217393707426618,10.74638436809397,5.492207628963109,9.420027049067771,9.794576589427761,8.815118930484985,6,True,6.7,109.38524585773996,123.75360958937156,n/d,2026-08-26,última,,,False,False,,,Em Baixa,4.150000095367432,1.4457817204996726,-35.54549161432775,True,False,False,sem sinal (Em Baixa; sem novo topo (+1.4%))
POMO4,BOVA11+SMALL11+Carteira,BOVA11,Bens Industriais,73.09,73.63,70.0,,,0.7,,80.49,73.28,52.52,85.82,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5573886976.0,4.58,1.3,21.0,10.22,28.32,24.74,18.39,13.19,4.78,1.29,0.98,1.94,0.81,0.31,46.79,-14.0,4.59,8.76,1.02,59.93,39.42,3.93,7.69,14.2,-41.6,-18.0,5.81,5.91,-48.9,34.8,-20.4,3.93,6.81,-32.73,0.97,0.48,0.05,4.489999771118164,3.276647526162512,6.07818116103146,12.989628158802546,8.72837029810669,24.721192561800795,11.575137762178509,11.86222646954799,5.421628644320364,11.625195007969765,11.575137762178509,10.417623985960658,7,True,7.5,132.01836340776273,158.91304232905767,n/d,2026-08-26,última,"A análise fundamentalista da Marcopolo (POMO4) revela uma empresa com excelente eficiência operacional, evidenciada por um ROE de 28,3% e um ROIC de 18,4%, ambos significativamente acima das médias do setor de bens industriais, que são de 14,5% e 12,6%, respectivamente. Essa alta qualidade de retorno convive com múltiplos de preço bastante atrativos, visto que o P/L de 4,58 e o P/VP de 1,3 sugerem que o papel está descontado frente à sua capacidade de geração de valor. No âmbito financeiro, a excelente rentabilidade é acompanhada por um endividamento controlado, com a relação Dívida Líquida/EBITDA em 1,29, patamar confortavelmente abaixo da média setorial de 2,39, o que confere solidez ao balanço. Essa estrutura de capital saudável e a forte lucratividade sustentam um expressivo Dividend Yield de 21,0%, o qual se mostra coerente com a robustez dos lucros recentes, embora o investidor deva monitorar a sustentabilidade desse fluxo no longo prazo. Por outro lado, o crescimento histórico acende um sinal de alerta, dado que o CAGR de receita dos últimos cinco anos contraiu 14,0%, ficando muito abaixo da média de expansão de 21,6% dos seus pares setoriais. Esse descompasso no crescimento e a existência de vendas por parte de insiders explicam por que a companhia atendeu a apenas 5 dos 8 critérios do checklist de qualidade, além de refletirem uma tendência gráfica atual de baixa. No que tange ao valuation, as estimativas de preço-teto apresentam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 3,21 por Bazin até os otimistas R$ 24,22 por Lynch, estabelecendo uma média de R$ 11,43 e um preço-teto ajustado com margem de segurança de R$ 10,42, o que projeta um expressivo potencial de valorização teórica de 136,8% sobre a cotação atual de R$ 4,40. Em suma, POMO4 destaca-se positivamente por seus indicadores de rentabilidade superiores, endividamento sob controle, múltiplos de valuation convidativos e proventos robustos, mas traz como contrapartidas o histórico recente de retração na receita e a falta de momentum gráfico de curto prazo.",,False,True,4.45,0.9,Em Baixa,4.5,-0.22222730848524552,-41.85269062796987,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.2%))
PSSA3,BOVA11,BOVA11,Insurance,72.98,72.62,75.0,,1.8,0.3,,76.13,52.75,100.0,51.77,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,31761168384.0,8.61,1.97,6.14,5.34,22.84,17.35,79.28,8.13,,,,,,0.7,45.94,0.3,7.95,6.06,,71.59,28.18,43.07,55.45,15.1,-10.6,-2.5,47.94,48.43,-16.1,25.7,7.0,44.27,55.45,-5.33,0.75,0.5,0.03,49.54999923706055,18.883597418623694,35.02907321154696,76.25290242637075,57.06899471169774,101.7655843222222,48.356152524679224,60.040530632302605,,44.63043139530516,41.69261286811309,37.52335158130178,4,True,4.0,-24.27174135406146,-9.928492265396105,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,49.08000183105469,0.9576148909360427,-10.801080256355899,True,False,False,sem sinal (Em Baixa; sem novo topo (+1.0%))
MILS3,SMALL11,SMALL11,Bens Industriais,70.94,69.34,80.0,,,0.7,,84.89,56.52,57.38,55.32,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3579252224.0,8.21,1.96,5.38,5.71,23.81,18.37,20.65,23.53,4.88,1.28,0.87,2.98,0.99,0.65,46.84,21.3,8.39,11.12,0.54,61.6,38.32,10.3,15.81,52.6,-0.6,6.7,12.84,13.12,-15.0,27.0,24.2,12.01,15.81,11.87,0.73,0.47,0.07,15.710000038146973,6.40261375964154,11.876848524135054,25.354141352673242,18.576668487815358,35.136418102777874,12.296802525716675,20.334852282306905,18.43502942489913,20.287251528617748,18.576668487815358,16.719001639033824,7,True,5.5,6.422670900297867,29.135910116844734,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.75,-0.25396801176524875,-1.4429080821267926,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11,BOVA11,Energia,70.61,74.25,50.0,,,0.9,DY5a=41.0%>=20,86.35,82.81,36.34,,False,9,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$43.84, preço 6.7% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,639314493440.0,4.35,1.21,8.1,41.01,27.73,30.77,19.69,24.32,2.77,1.29,0.92,0.85,0.76,0.29,178.41,96.8,4.74,10.07,0.28,65.87,33.99,26.84,47.05,74.3,-0.5,13.2,36.98,35.91,-22.2,26.0,62.0,27.87,47.05,49.67,0.36,0.24,-0.07,46.790000915527344,137.07283442906922,254.2701078659234,142.52126715649132,96.74020405395376,322.6896614863955,56.58797333333334,130.15149679951287,57.5167646849915,149.69378872620888,133.61216561429103,120.25094905286193,8,True,5.7,157.0013821328147,219.92687710448996,n/d,2026-08-24,última,,,False,False,,,Em Alta,45.02000045776367,3.9315869386190583,-1.8294447311110074,True,False,False,sem sinal (Em Alta)
LEVE3,SMALL11,SMALL11,Consumo discricionário,70.42,70.49,70.0,,,0.9,,86.26,58.33,35.47,100.0,False,10,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4447034880.0,6.36,4.6,8.71,19.55,72.29,64.73,34.45,13.0,5.21,1.21,0.49,1.43,1.7,0.25,124.34,25.8,6.44,14.14,0.81,77.23,22.71,24.65,35.6,33.1,-7.8,-0.2,32.23,31.19,-12.3,24.5,4.0,31.18,35.6,-8.33,0.64,0.45,0.11,32.810001373291016,45.81878091214337,84.99383859202594,68.35416952768959,28.77332385910359,154.76415742118402,98.51666666666667,62.4215434932109,25.71518874027311,77.66321149600344,68.35416952768959,61.51875257492063,7,True,6.0,87.49999999999993,136.70590748351867,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-3.499995960908775,-9.389665277952485,True,False,False,sem sinal (Em Alta)
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.29,68.58,80.0,,,0.9,,90.09,31.97,56.97,86.52,False,11,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$34.67, preço 6.4% abaixo do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,10002305024.0,9.14,6.07,14.77,10.4,66.38,57.38,37.72,17.89,5.9,-0.15,-0.06,1.92,0.66,2.78,95.05,8.2,6.77,16.3,0.91,70.61,24.44,26.99,40.16,20.3,-19.2,3.9,31.32,31.79,-29.9,39.5,8.3,28.13,40.16,-4.03,1.3,0.57,0.06,32.470001220703125,24.119568909911223,32.5475382082229,34.241807203306394,20.67788523496826,48.612705550945854,50.94835410079106,16.824509915808928,24.118660562329513,31.511378710785515,28.333553559067063,25.50019820316036,8,True,3.0,-21.46536111953936,-2.952332842249439,n/d,2026-08-17,última,,,False,False,,,Em Alta,32.849998474121094,-1.1567649043190298,-19.326042982493085,True,False,False,sem sinal (Em Alta)
