ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11,Consumer Cyclical,78.4,90.25,48.1,87.47,99.24,1,Não,5,7,False,True,True,True,True,False,,True,False,4319052800.0,3.96,1.8,28.57,45.47,17.72,31.34,,2.95,0.42,,13.75,65.47,39.86,35.23,24.43,,41.25,37.54,173.05,199.98,n/d,2025-12-23,última,,,Em Baixa,14.5,-5.1724137931034475,-32.030779422544796,True,False,False,sem sinal (-5.2% do topo; Em Baixa)
VLID3,SMALL11,Industrials,73.57,66.84,71.94,81.03,82.58,2,Rompimento,3,7,False,False,True,True,False,False,,True,False,1460015872.0,6.03,0.86,9.39,14.22,15.05,12.13,,2.32,0.43,,18.65999984741211,29.2,17.78,31.4,38.87,,29.31,30.3,62.38,57.08,2026-08-05,2026-05-12,última,,Rompimento,Em Alta,18.40999984741211,1.3579576429770812,-19.145640023541976,True,True,True,Rompimento
PLPL3,SMALL11,Real Estate,73.55,80.88,73.59,64.11,68.94,3,Não,4,7,False,True,True,True,False,False,,True,False,1420620416.0,4.26,1.34,7.02,31.56,29.38,9.85,,2.87,1.28,,7.0,8.19,4.99,16.67,13.9,,10.94,11.04,57.77,56.23,n/d,2025-12-30,última,,,Em Baixa,8.300000190734863,-15.662652540490651,-59.725290132152786,True,False,False,sem sinal (-15.7% do topo; Em Baixa)
TGMA3,SMALL11,Industrials,71.63,79.12,45.15,84.34,90.15,4,Rompimento,6,7,False,True,True,True,False,True,,True,True,2255071744.0,7.97,2.04,12.52,25.55,27.01,10.14,,2.22,0.23,0.34,34.20000076293945,71.36,55.02,55.13,40.23,128.73,70.1,55.13,61.21,104.96,n/d,2025-12-03,última,,Rompimento,Lateral,31.489999771118164,8.605909849217696,-16.360965337658083,True,True,True,Rompimento
LAVV3,SMALL11,Real Estate,71.37,75.23,49.9,77.6,96.97,5,Não,4,7,False,True,True,False,True,False,,True,False,2032517248.0,5.1,1.48,24.84,29.03,9.91,22.06,,4.22,0.85,,10.399999618530273,43.06,26.21,20.69,17.96,,26.98,23.45,125.49,159.41,n/d,2026-02-03,última,,,Em Baixa,11.289999961853027,-7.883085441363258,-45.20548014035995,True,False,False,sem sinal (-7.9% do topo; Em Baixa)
POMO4,BOVA11,Industrials,71.14,81.05,54.12,61.1,95.45,6,Não,5,7,False,True,True,True,False,True,,True,False,5971135488.0,5.59,1.58,17.58,28.32,18.39,13.81,,1.97,0.84,0.24,4.809999942779541,14.09,10.86,11.06,7.68,25.81,13.9,11.06,129.85,189.0,n/d,2026-04-27,última,,,Em Baixa,5.619999885559082,-14.412810663232989,-39.504095450180856,True,False,False,sem sinal (-14.4% do topo; Em Baixa)
RECV3,BOVA11,Energy,70.93,57.91,77.31,68.02,92.42,7,Não,3,7,False,False,True,False,True,False,,True,False,3003342848.0,5.67,0.72,13.21,12.74,9.37,17.93,,2.18,0.77,,10.25,22.57,13.74,18.34,24.06,,19.68,20.45,99.56,91.98,n/d,2026-05-19,última,,,Em Alta,10.890000343322754,-5.876954298859804,-28.022682163484326,True,False,False,sem sinal (-5.9% do topo; Em Alta)
BRSR6,SMALL11,Financial Services,70.35,50.75,84.28,,88.26,8,Pivô de alta,2,6,False,False,False,False,,False,,True,True,5791078400.0,3.63,0.51,11.29,13.99,0.0,22.75,,,,,14.15999984741211,26.64,16.22,39.58,49.36,,32.95,33.11,133.84,132.71,n/d,2026-06-15,última,,Pivô de alta,Em Alta,14.470000267028809,-2.1423663710847585,-23.968954974810597,True,True,True,Pivô de alta
AZZA3,BOVA11,Consumer Cyclical,70.07,43.39,84.72,76.88,93.94,9,Não,1,7,False,False,False,False,False,False,,True,False,3242901504.0,4.03,0.42,15.25,10.39,7.75,7.17,,2.2,0.49,,16.040000915527344,40.77,24.82,40.38,58.48,,41.11,40.58,152.97,156.32,2026-08-12,2025-12-22,última,,,Em Baixa,18.850000381469727,-14.90715866883865,-54.13720844041888,True,False,False,sem sinal (-14.9% do topo; Em Baixa)
GRND3,SMALL11,Consumer Cyclical,69.83,66.17,50.35,82.8,100.0,10,Não,4,7,False,True,True,False,True,False,,True,False,3301905664.0,5.3,1.06,41.34,19.96,7.6,24.95,,2.05,0.02,,3.6600000858306885,25.22,15.35,7.01,7.32,,13.73,11.34,209.79,275.0,2026-08-06,2026-04-24,última,,,Em Baixa,3.9000000953674316,-6.153846247896877,-26.391034967593896,True,False,False,sem sinal (-6.2% do topo; Em Baixa)
