ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,79.41,77.54,90.0,,,0.8,,87.92,80.21,54.56,70.14,1,Não,6,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,False,True,True,False,True,True,True,0.18,True,7213825024.0,3.39,0.96,6.38,7.77,28.4,13.12,53.01,4.59,0.74,1.92,0.74,0.23,26.35,5.2,0.72,61.6,36.26,4.9,13.85,120.9,-21.9,-1.1,1.39,0.62,10.819999694824219,6.00733138637247,11.14359972172093,42.2905592791802,28.450050521849164,72.68514301816457,20.157460842367882,38.62005790777966,16.750658730625098,,,,6,False,12.1,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,11.33961009979248,-4.582259887205209,-23.553553026888917,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.6%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.11,77.19,70.0,,,0.9,,88.59,58.65,65.4,95.83,2,Não,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.23,True,4281359360.0,4.73,1.66,29.32,15.46,35.06,17.83,24.89,6.33,0.76,2.96,0.37,0.5,73.1,-64.7,1.64,37.42,62.57,13.63,20.08,0.0,-32.1,-10.2,0.92,0.6,13.630000114440918,15.046690096066738,27.911610128203794,38.18128996117169,23.072917018813232,71.7096181627478,45.64963990384098,24.7787818008288,8.071253269243476,,,,6,False,8.9,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.180000305175781,-3.8787036593653013,-32.62396478187822,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.9%))
POMO3,SMALL11,SMALL11,Bens Industriais,75.83,75.1,80.0,,,0.7,,81.54,75.79,52.16,90.28,3,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,True,True,0.37,True,4853875200.0,4.17,1.18,23.54,11.85,28.32,18.39,13.81,4.47,1.06,1.97,0.84,0.29,49.42,23.0,1.02,59.93,39.42,3.91,6.69,0.0,-41.5,-29.8,0.94,0.47,3.9100000858306885,3.309697857220871,6.1394895251447155,12.423861183994392,8.361014851172397,24.54365056682194,11.083840563859736,10.947807954788527,4.935040019016474,8.981842349662708,9.654411402980461,8.688970262682416,6,True,7.4,122.22429851523708,129.71463305619073,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-21.643281259018345,-41.995723448458854,True,False,False,sem sinal (Em Baixa; sem novo topo (-21.6%))
MDNE3,SMALL11,SMALL11,Imobiliário,75.24,72.64,90.0,,,0.8,,73.15,75.07,65.52,78.47,4,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.21,True,2405112832.0,4.5,1.1,16.06,9.23,24.38,10.98,19.89,4.34,0.7,2.78,0.43,0.32,41.54,87.7,1.12,72.76,27.27,18.83,34.28,23.2,-32.4,-17.9,1.64,0.63,23.190000534057617,15.288967018384716,28.36103381910365,68.28166823916965,49.441247261480726,121.01964250122944,22.41666928994416,59.93782740249911,38.23404276943503,44.445414796938714,43.83764501545788,39.4538805139121,6,True,7.9,70.1331591431781,91.65767043284315,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-8.700783927809109,-32.35122123731513,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.7%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,74.54,73.58,80.0,,,0.7,,81.54,73.59,52.16,80.56,5,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,True,True,0.37,True,5102155264.0,4.46,1.26,22.06,9.47,28.32,18.39,13.81,4.69,1.06,1.97,0.84,0.3,42.25,23.0,1.02,59.93,39.42,4.11,7.92,0.0,-48.1,-29.9,0.97,0.5,4.110000133514404,2.780801886024249,5.158387498574982,12.21020219037351,8.22394871026365,22.55184493431739,11.111224249813457,11.150448792718452,4.873422558373504,,,,7,False,8.1,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-23.605947098729573,-48.30807094913363,True,False,False,sem sinal (Em Baixa; sem novo topo (-23.6%))
PSSA3,BOVA11,BOVA11,Insurance,73.39,73.11,75.0,,1.8,0.3,,76.96,53.35,100.0,51.39,6,Não,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,29857423360.0,8.21,1.87,6.44,5.33,22.84,79.28,8.34,,,,,0.64,43.79,3.6,,71.59,28.18,43.07,55.45,8.2,-16.0,-8.5,0.77,0.51,46.58000183105469,17.746137550343004,32.91908515588627,75.1747898004232,56.389517494643975,103.1006469790221,48.512323100688555,60.941216854181114,,43.588083901835255,40.71570412828741,36.64413371545867,4,True,4.2,-21.33075939248207,-6.423181218564777,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.18000030517578,-15.58535416193978,-16.147610313595585,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.6%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.86,69.25,80.0,,,0.9,,90.38,35.41,56.98,83.33,7,Não,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.2,True,9780510720.0,9.08,6.03,12.95,9.82,66.38,37.72,18.37,5.86,-0.2,1.94,0.71,1.27,89.2,33.5,0.91,70.61,24.44,27.53,40.96,15.3,-22.5,-1.5,1.28,0.59,31.75,22.278420033347146,41.32646916185896,46.33122246696035,20.353233187631023,59.42285660103883,50.644846930117794,25.10126326102138,22.32299984142605,35.97266393542519,33.21386621144017,29.892479590296155,8,True,2.9,-5.850457983319202,13.299728930473043,n/d,2026-05-18,última,,,False,False,,,Em Baixa,32.400001525878906,-2.006177454527991,-22.647386529034552,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
RIAA3,SMALL11,SMALL11,Consumo discricionário,70.77,70.91,70.0,,,0.9,,66.67,92.96,42.15,92.36,8,Não,4,8,False,,False,,False,False,True,True,True,True,7,10,True,True,False,False,False,True,True,False,True,True,True,2.93,False,3444152576.0,2.32,0.66,45.73,13.11,28.35,8.96,14.35,2.59,2.11,1.61,0.68,0.15,30.42,16.6,1.05,64.01,35.99,5.72,10.43,19.8,-34.2,-21.7,1.65,0.61,6.860000133514404,6.42558196369728,11.919454542658453,39.17888007287321,26.296589262767274,83.12851271313707,50.13213551471202,35.77844897220875,28.054967858508842,,,,5,False,12.9,,,n/d,n/d,,,,False,False,,,Em Baixa,8.079999923706055,-15.099007446921764,-36.677675447399025,False,False,False,sem sinal (Em Baixa; sem novo topo (-15.1%))
MILS3,SMALL11,SMALL11,Bens Industriais,70.48,68.8,80.0,,,0.7,,85.68,53.51,56.88,54.86,9,Não,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.69,True,3554190848.0,8.16,1.94,6.79,5.73,23.81,20.65,23.53,4.85,1.28,2.98,0.99,0.64,46.72,21.3,0.54,61.6,38.32,10.3,15.81,51.5,-1.3,9.1,0.76,0.48,15.600000381469727,6.379312182160241,11.833624097907247,25.33088297236199,18.598157604438878,35.1992178838789,12.507944098330551,20.352715259369774,17.848422745352448,20.238709237377115,18.598157604438878,16.73834184399499,7,True,5.5,7.297060478776851,29.735312451770348,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-1.3282734508116123,-2.132993775809111,True,False,False,sem sinal (Em Alta)
VTRU3,SMALL11,SMALL11,Consumo discricionário,70.18,71.53,62.5,,,0.9,P/L=1.80<2,87.25,89.17,46.07,7.64,10,Não,8,8,True,,True,,,,True,True,True,True,5,8,True,True,True,True,True,True,True,True,True,True,True,3.37,False,2069136640.0,1.8,0.49,0.19,0.21,27.23,15.07,48.63,2.85,2.49,2.13,0.76,,0.37,1514.7,0.37,51.99,48.01,8.96,16.86,41.7,-24.7,-5.2,1.11,0.49,12.699999809265137,0.18681087103900132,0.34653416577734747,93.48610970709058,64.14468561570885,211.6666634877523,0.5012758372879869,85.37222094006009,55.18774088001989,,,,4,False,1133.1,,,n/d,n/d,,,,False,False,,,Em Baixa,13.15999984741211,-3.49544105988292,-26.792299039126565,False,False,False,sem sinal (Em Baixa; sem novo topo (-3.5%))
